<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gold.Coin.140012,20210316,1064420.00,1079900.00,1064420.00,1070735.00,470159784700,439100,1029,D,1034902.00,1072000.00
Gold.Coin.140012,20210315,1041999.00,1043450.00,1025111.00,1034902.00,512380186900,495100,1020,D,1045624.00,1039105.00
Gold.Coin.140012,20210314,1057777.00,1062000.00,1022032.00,1045624.00,430587845800,411800,1131,D,1057911.00,1033998.00
Gold.Coin.140012,20210313,1070000.00,1070001.00,1048000.00,1057911.00,377462827300,356800,918,D,1037140.00,1067900.00
Gold.Coin.140012,20210310,1036000.00,1046000.00,1020000.00,1037140.00,301807632100,291000,629,D,1027319.00,1029002.00
Gold.Coin.140012,20210309,1032999.00,1033000.00,1023000.00,1027319.00,233304184500,227100,452,D,1036208.00,1028878.00
Gold.Coin.140012,20210308,1042999.00,1042999.00,1025500.00,1036208.00,243094478300,234600,699,D,1028711.00,1033000.00
Gold.Coin.140012,20210307,1031823.00,1038999.00,1010011.00,1028711.00,210680012900,204800,575,D,1031823.00,1038999.00
Gold.Coin.140012,20210306,1047799.00,1047799.00,1030815.00,1031823.00,213896866100,207300,571,D,1085060.00,1030815.00
Gold.Coin.140012,20210303,1088900.00,1091500.00,1080000.00,1085060.00,132485786100,122100,420,D,1082943.00,1082799.00
Gold.Coin.140012,20210302,1080000.00,1089000.00,1071119.00,1082943.00,49382212700,45600,210,D,1103724.00,1084800.00
Gold.Coin.140012,20210301,1100012.00,1110001.00,1100000.00,1103724.00,122954825100,111400,267,D,1094212.00,1107004.00
Gold.Coin.140012,20210228,1089000.00,1099999.00,1089000.00,1094212.00,54382324700,49700,175,D,1106015.00,1093518.00
Gold.Coin.140012,20210227,1114999.00,1114999.00,1103334.00,1106015.00,52425132500,47400,211,D,1122035.00,1107500.00
Gold.Coin.140012,20210224,1129500.00,1129500.00,1115555.00,1122035.00,81235347400,72400,283,D,1101184.00,1121799.00
Gold.Coin.140012,20210223,1100000.00,1107499.00,1096000.00,1101184.00,98115472700,89100,244,D,1096501.00,1104000.00
Gold.Coin.140012,20210222,1101000.00,1115919.00,1092000.00,1096501.00,132895976600,121200,376,D,1097543.00,1093005.00
Gold.Coin.140012,20210221,1119972.00,1119972.00,1090000.00,1097543.00,199862587600,182100,491,D,1137777.00,1094200.00
Gold.Coin.140012,20210220,1131000.00,1149011.00,1130000.00,1137777.00,276593625500,243100,593,D,1179290.00,1132000.00
Gold.Coin.140012,20210217,1183000.00,1183000.00,1174000.00,1179290.00,104838846700,88900,294,D,1190711.00,1176300.00
Gold.Coin.140012,20210216,1185000.00,1199980.00,1180000.00,1190711.00,151696647000,127400,500,D,1174415.00,1190899.00
Gold.Coin.140012,20210215,1174777.00,1178999.00,1169000.00,1174415.00,159720472700,136000,300,D,1192814.00,1173115.00
